Detector Type, Descriptor Type, Image Number, Detector Elapsed Time[ms], Descriptor Elasped Time [ms], Keypoints (#), TTC Camera [s], TTC LiDAR [s], |TCC Camera - TTC LiDAR| [s], Mean(|TCC Camera - TTC LiDAR|) [s]
SHITOMASI, FREAK, 16, 11.0935, 37.5544, 1682, 10.8713, 9.14267, 1.72861
SHITOMASI, FREAK, 17, 11.3441, 38.929, 1716, 10.7149, 12.2499, 1.53504
SHITOMASI, FREAK, 18, 11.5015, 38.2792, 1818, 10.3382, 7.80588, 2.53232, 1.77201

SHITOMASI, SIFT, 0, 10.9213, 25.6832, 1723, , ,
SHITOMASI, SIFT, 1, 14.1214, 29.6708, 1759, 13.6067, 12.8862, 0.720499
SHITOMASI, SIFT, 2, 10.055, 23.1154, 1820, 12.5842, 13.1128, 0.528507
SHITOMASI, SIFT, 3, 15.4733, 37.7061, 1850, 11.6934, 17.5264, 5.83303
SHITOMASI, SIFT, 4, 11.506, 24.969, 1828, 12.6634, 17.1846, 4.52119
SHITOMASI, SIFT, 5, 11.674, 24.7359, 1806, 12.0556, 12.9345, 0.878835
SHITOMASI, SIFT, 6, 11.5844, 25.3327, 1877, 13.6733, 13.0189, 0.654349
SHITOMASI, SIFT, 7, 10.0551, 22.879, 1894, 13.3309, 11.4193, 1.9116
SHITOMASI, SIFT, 8, 11.2435, 23.6055, 1889, 13.2815, 12.7262, 0.555285
SHITOMASI, SIFT, 9, 10.0244, 23.7344, 1917, 12.2092, 12.9003, 0.691066
SHITOMASI, SIFT, 10, 12.415, 23.6123, 1874, 14.1452, 12.4271, 1.71818
SHITOMASI, SIFT, 11, 11.6671, 24.5647, 1912, 11.9816, 11.9444, 0.0371682
SHITOMASI, SIFT, 12, 11.5032, 25.9653, 1930, 11.8702, 10.2754, 1.59477
SHITOMASI, SIFT, 13, 12.1614, 23.6405, 1881, 11.6341, 9.24364, 2.39045
SHITOMASI, SIFT, 14, 12.6681, 24.952, 1886, 11.4823, 9.27054, 2.2118
SHITOMASI, SIFT, 15, 12.0369, 25.0424, 1957, 11.0454, 8.40269, 2.64273
SHITOMASI, SIFT, 16, 13.25, 24.8969, 1888, 10.1477, 9.14267, 1.00506
SHITOMASI, SIFT, 17, 11.7736, 27.9103, 1919, 10.5765, 12.2499, 1.67341
SHITOMASI, SIFT, 18, 12.8335, 26.9611, 2057, 8.64153, 7.80588, 0.835643, 1.68909


HARRIS, BRIEF, 0, 10.0982, 2.18134, 113, , ,
HARRIS, BRIEF, 1, 9.29477, 1.104, 202, 9.74953, 12.8862, 3.13665
HARRIS, BRIEF, 2, 10.0051, 0.899692, 113, 52.7952, 13.1128, 39.6824
HARRIS, BRIEF, 3, 9.58887, 1.31285, 172, -11.4731, 17.5264, 28.9995
HARRIS, BRIEF, 4, 8.92088, 2.57187, 239, 10.9782, 17.1846, 6.20635
HARRIS, BRIEF, 5, 8.93894, 1.28173, 226, 34.1473, 12.9345, 21.2128
HARRIS, BRIEF, 6, 9.92165, 1.37809, 242, 14.1981, 13.0189, 1.1792
HARRIS, BRIEF, 7, 10.2848, 1.42857, 259, 17.7488, 11.4193, 6.32959
